Code Number,Summary
1175F,"The provider assesses the functional status of a patient with dementia and reviews the results. The assessment may evaluate the patient’s level of activities of daily living, or ADL, and or status of instrumental activities of daily living, or IADL."
1180F,No Summary found for this code
1181F,"The provider assesses the neuropsychiatric symptoms of a patient with dementia and reviews the results. The assessment may evaluate the disturbance in activity, mood, thought process, or perception of the patient."
1182F,No Summary found for this code
1183F,No Summary found for this code
1200F,No Summary found for this code
1205F,No Summary found for this code
1220F,No Summary found for this code
1400F,The provider performs tests to review and diagnose Parkinson’s disease in a patient. Parkinson’s disease is a progressive disorder of the nervous system that mainly affects the movement of the individual. Tremors are the characteristic features of the disease.
1450F,No Summary found for this code
1451F,No Summary found for this code
1460F,No Summary found for this code
1461F,No Summary found for this code
1490F,"The provider diagnoses a patient with dementia and classifies the condition as a mild severity, when the patient shows symptoms like difficulty in concentrating, forgetfulness, or managing complex tasks."
1491F,"The provider diagnoses a patient with dementia and classifies the condition as a moderate severity, when the patient shows symptoms like difficulty in concentrating, decrease in memory, and requires assistance in major activities."
1493F,"The provider diagnoses a patient with dementia and classifies the condition as a severe severity, when the patient shows symptoms like loss of bladder control, delusions, or difficulty in performing daily activities."
1494F,"The provider assesses and reviews a patient with dementia for cognitive function. This involves the assessment of intellectual and mental ability of the brain that includes thinking, learning, remembering, or reasoning."
1500F,No Summary found for this code
1501F,No Summary found for this code
1502F,No Summary found for this code
1503F,No Summary found for this code
1504F,No Summary found for this code
1505F,No Summary found for this code
