Code Number,Summary
1175F,"The provider assesses the functional status of a patient with dementia and reviews the results. The assessment may evaluate the patient’s level of activities of daily living, or ADL, and or status of instrumental activities of daily living, or IADL."
1180F,No Summary found for this code
1181F,"The provider assesses the neuropsychiatric symptoms of a patient with dementia and reviews the results. The assessment may evaluate the disturbance in activity, mood, thought process, or perception of the patient."
1182F,No Summary found for this code
1183F,No Summary found for this code
1200F,No Summary found for this code
1205F,No Summary found for this code
1220F,No Summary found for this code
1400F,The provider performs tests to review and diagnose Parkinson’s disease in a patient. Parkinson’s disease is a progressive disorder of the nervous system that mainly affects the movement of the individual. Tremors are the characteristic features of the disease.
1450F,No Summary found for this code
1451F,No Summary found for this code
1460F,No Summary found for this code
1461F,No Summary found for this code
1490F,"The provider diagnoses a patient with dementia and classifies the condition as a mild severity, when the patient shows symptoms like difficulty in concentrating, forgetfulness, or managing complex tasks."
1491F,"The provider diagnoses a patient with dementia and classifies the condition as a moderate severity, when the patient shows symptoms like difficulty in concentrating, decrease in memory, and requires assistance in major activities."
1493F,"The provider diagnoses a patient with dementia and classifies the condition as a severe severity, when the patient shows symptoms like loss of bladder control, delusions, or difficulty in performing daily activities."
1494F,"The provider assesses and reviews a patient with dementia for cognitive function. This involves the assessment of intellectual and mental ability of the brain that includes thinking, learning, remembering, or reasoning."
1500F,No Summary found for this code
1501F,No Summary found for this code
1502F,No Summary found for this code
1503F,No Summary found for this code
1504F,No Summary found for this code
1505F,No Summary found for this code
2000F,No Summary found for this code
2001F,No Summary found for this code
2002F,No Summary found for this code
2003F,No Summary found for this code
2004F,No Summary found for this code
2010F,No Summary found for this code
2014F,No Summary found for this code
2015F,The provider treats a patient who presents with a diagnosis of asthma. The provider assesses the patient to ensure that the asthma symptoms are under control. He also documents the findings for all the aspects of assessment.
2016F,The provider treats a patient who presents with a diagnosis of asthma. The provider assesses the patient to gauge the risk of asthma attacks in the patient. He also documents the findings for all the aspects of the patient assessment.
2018F,No Summary found for this code
2019F,No Summary found for this code
2020F,No Summary found for this code
2021F,No Summary found for this code
2022F,The ophthalmology or optometry provider performs a dilated retinal eye exam in a diabetic patient with evidence of diabetic retinopathy. He interprets the findings and documents them in the patient’s chart.
2023F,The ophthalmology or optometry provider performs a dilated retinal eye exam in a diabetic patient with no evidence of diabetic retinopathy. He interprets the findings and documents them in the patient’s chart.
2024F,The ophthalmology or optometry provider takes photos of the eye in seven standard fields in a diabetic patient with evidence of diabetic retinopathy. He interprets the findings and documents them in the patient’s chart.
2025F,The ophthalmology or optometry provider takes photos of the eye in seven standard fields in a diabetic patient with no evidence of diabetic retinopathy. He interprets the findings and documents them in the patient’s chart.
2026F,The ophthalmology or optometry provider uses other eye imaging to validate 7 standard field stereoscopic retinal photo results in a patient with diabetic retinopathy. He reviews and documents the findings in the patient’s chart.
2027F,No Summary found for this code
2028F,No Summary found for this code
2029F,No Summary found for this code
2030F,No Summary found for this code
2031F,No Summary found for this code
2033F,The ophthalmology or optometry provider uses other eye imaging to validate 7 standard field stereoscopic retinal photos results in a patient without diabetic retinopathy. He reviews and documents the findings in the patient’s chart.
2035F,No Summary found for this code
2040F,The provider thoroughly examines the patient who presents for the first time with an episode of back pain.
2044F,No Summary found for this code
2050F,No Summary found for this code
2060F,No Summary found for this code
3000F,No Summary found for this code
3002F,No Summary found for this code
3006F,No Summary found for this code
3008F,No Summary found for this code
3011F,No Summary found for this code
3014F,"Screening mammography is a radiologic procedure for an asymptomatic woman of age 40 years or older to detect early breast cancer. The code includes the interpretation of the results of the procedure by the provider and its documentation. Unlike diagnostic mammographies, there do not need to be signs, symptoms, or history of breast disease in order to cover the exam."
3015F,No Summary found for this code
3016F,The provider uses a systematic screening method to determine if a patient of 18 years or older uses alcohol in an unhealthy manner. He examines the patient for any adverse health outcomes due to excessive use of alcohol at least once within a year.
3017F,"Colorectal cancer screening includes radiologic, endoscopic, and laboratory tests to assess the colon, or lower part of the large intestine, and the rectum for cancer in individuals at age 50 or older. The code includes the interpretation of the results of the procedure by the provider and its documentation. Unlike diagnostic tests, there do not need to be signs, symptoms, or history of colon disease in order to cover a screening exam."
3018F,No Summary found for this code
3019F,No Summary found for this code
3020F,No Summary found for this code
3021F,"A provider reports this code when a patient’s condition is such that his left ventricular ejection fraction or, LVEF, is less than 40 percent or when his left ventricular systolic function, or LVS function, is moderately or severely depressed."
3022F,"A provider reports this code when a patient’s condition is such that his left ventricular ejection fraction or, LVEF, is greater than or equal to 40 percent or when his left ventricular systolic function, LVS function, is normal or mildly depressed."
3023F,"The provider reviews and documents the results of a spirometry test, which assesses the function of the lungs, in a patient with a diagnosis of chronic obstructive pulmonary disease, or COPD, on bronchodilator medication."
3025F,No Summary found for this code
3027F,No Summary found for this code
3028F,No Summary found for this code
3035F,No Summary found for this code
3037F,No Summary found for this code
3038F,No Summary found for this code
3040F,No Summary found for this code
3042F,No Summary found for this code
3044F,The A1C test (HbA1C test) is a blood test which shows the levels of glucose (sugar) in the blood. The provider uses the test to determine if the patient’s diabetes is well controlled. The provider may adjust the patient’s diabetes medication depending on the results of the test. This code represents the most recent HbA1C level of less than 7 percent.
3045F,No Summary found for this code
3046F,The A1C test (HbA1C test) is a blood test which shows the levels of glucose (sugar) in the blood. The provider uses the test to determine if the patient’s diabetes is well controlled. The provider may adjust the patient’s diabetes medication depending on the results of the test. This code represents the most recent HbA1C level greater than 9 percent.
3047F,No Summary found for this code
3048F,The LDL C test (low density lipoprotein cholesterol test) is a lipid profile test which shows the levels of cholesterol in the blood. The provider uses the test to determine the patient’s risk of developing coronary artery disease or diabetes mellitus. The provider may adjust the patient’s cholesterol or diabetes medication depending on the results of the test. This code represents the most recent LDL C test level of less than 100 mg/dL.
3049F,The LDL C test (low density lipoprotein cholesterol test) is a lipid profile test which shows the levels of cholesterol in the blood. The provider uses the test to determine the patient’s risk of developing coronary artery disease or diabetes mellitus. The provider may adjust the patient’s cholesterol or diabetes medication depending on the results of the test. This code represents the most recent LDL C with a level of 100–129 mg/dL.
3050F,The LDL C test (low density lipoprotein cholesterol test) is a lipid profile test which shows the levels of cholesterol in the blood. The provider uses the test to determine the patient’s risk of developing coronary artery disease or diabetes mellitus. The provider may adjust the patient’s cholesterol or diabetes medication depending on the results of the test. This code represents the most recent LDL C level of greater than or equal to 130 mg/dL.
3051F,The hemoglobin A1c test (HbA1c test) shows blood glucose (sugar) control over a time period of three months or so. This code represents the most recent HbA1c level is between 7.0 percent and 8.0 percent.
3052F,The hemoglobin A1c test (HbA1c test) shows blood glucose (sugar) control over a time period of three months or so. This code represents the most recent HbA1c level is greater than 8.0 percent and equal to or less than 9.0 percent.
3055F,No Summary found for this code
3056F,No Summary found for this code
3060F,"The microalbuminuria test is a urine test that measures the amount of albumin in the urine. A positive test shows the presence of albumin in the urine due to possible kidney damage, a common cause as a result of diabetes. The provider documents and reviews the positive microalbuminuria test. The provider may adjust the patient’s diabetes medication depending on the results of the test."
3061F,"The microalbuminuria test is a urine test that measures the amount of albumin in a patient's urine. A negative test shows the absence of albumin in the urine. This shows that there is no kidney damage, a common cause often as a result of diabetes. The provider documents and reviews the negative microalbuminuria test."
3062F,"The macroalbuminuria test is a urine test that measures very high levels of albumin in the urine. A positive test shows the presence of albumin in the urine due to kidney damage, a common cause as a result of diabetes. The provider documents and reviews the positive macroalbuminuria test. The provider may adjust the patient’s diabetes medication depending on the results of the test."
3066F,"Nephropathy is a kidney disease, which may occur due to damage to the kidneys. The provider reports this code to document the treatment for nephropathy such as for patients receiving dialysis, patients being treated for end stage renal disease (ESRD); acute renal failure (ARF); chronic renal failure (CRF); or renal insufficiency."
3072F,"The provider reports this code, if any previous examination within the last 12 months shows that there is no evidence of retinopathy or low risk of retinopathy. An automated result is not necessary."
3073F,No Summary found for this code
3074F,No Summary found for this code
3075F,No Summary found for this code
3076F,No Summary found for this code
3077F,No Summary found for this code
3078F,No Summary found for this code
3079F,No Summary found for this code
3080F,No Summary found for this code
3082F,No Summary found for this code
3083F,No Summary found for this code
3084F,No Summary found for this code
3085F,No Summary found for this code
3088F,No Summary found for this code
3089F,No Summary found for this code
3090F,No Summary found for this code
3091F,No Summary found for this code
3092F,No Summary found for this code
3093F,No Summary found for this code
3095F,No Summary found for this code
3096F,No Summary found for this code
3100F,No Summary found for this code
3110F,No Summary found for this code
3111F,No Summary found for this code
3112F,No Summary found for this code
3115F,No Summary found for this code
3117F,No Summary found for this code
3118F,No Summary found for this code
3119F,No Summary found for this code
3120F,No Summary found for this code
3125F,No Summary found for this code
3126F,"A surgical pathology provider performs biopsy of esophageal tissue. He performs this procedure to examine the specimen for any dysplasia, a precancerous condition, and grades it accordingly."
3130F,No Summary found for this code
3132F,No Summary found for this code
3140F,No Summary found for this code
3141F,No Summary found for this code
3142F,No Summary found for this code
3150F,No Summary found for this code
3155F,No Summary found for this code
3160F,No Summary found for this code
3170F,No Summary found for this code
3200F,No Summary found for this code
3210F,No Summary found for this code
3215F,The provider uses this code to indicate that a patient has a documentation of immunity against the hepatitis A virus.
3216F,No Summary found for this code
3218F,No Summary found for this code
3220F,No Summary found for this code
3230F,No Summary found for this code
3250F,No Summary found for this code
3260F,No Summary found for this code
3265F,No Summary found for this code
3266F,No Summary found for this code
3267F,No Summary found for this code
3268F,No Summary found for this code
3269F,No Summary found for this code
3270F,No Summary found for this code
3271F,No Summary found for this code
3272F,No Summary found for this code
3273F,No Summary found for this code
3274F,No Summary found for this code
3278F,No Summary found for this code
3279F,No Summary found for this code
3280F,No Summary found for this code
3281F,No Summary found for this code
3284F,No Summary found for this code
3285F,No Summary found for this code
3288F,No Summary found for this code
3290F,No Summary found for this code
3291F,No Summary found for this code
3292F,No Summary found for this code
3293F,No Summary found for this code
3294F,No Summary found for this code
3300F,"The provider diagnoses a patient with cancer and uses this code to review and document the stage of the cancer according to the American Joint Committee on Cancer, or AJCC, classification system."
3301F,"The provider diagnoses a patient, 18 years of age or older, with cancer and uses this code to document his review and classification of the nature of the cancer as metastatic, according to the American Joint Committee on Cancer, or AJCC, classification system."
3302F,No Summary found for this code
3303F,No Summary found for this code
3304F,No Summary found for this code
3305F,No Summary found for this code
3306F,No Summary found for this code
3307F,No Summary found for this code
3308F,No Summary found for this code
3309F,No Summary found for this code
3310F,No Summary found for this code
3311F,No Summary found for this code
3312F,No Summary found for this code
3315F,"The provider assesses the presence of estrogen or progesterone receptors, cell proteins that bind to specific molecules, within tumor cells in female patients, 18 years of age or older. A tumor that is estrogen or progesterone receptor positive (ER+ or PR+) responds to medications that interfere with the production or utilization of estrogen."
3316F,"The provider assesses the presence of estrogen or progesterone receptors, cell proteins that bind to specific molecules, within tumor cells in female patients, 18 years of age or older. A tumor that is estrogen or progesterone receptor negative (ER– or PR–) does not respond to medications that interfere with the production or utilization of estrogen."
3317F,No Summary found for this code
3318F,No Summary found for this code
3319F,No Summary found for this code
3320F,No Summary found for this code
3321F,No Summary found for this code
3322F,No Summary found for this code
3323F,No Summary found for this code
3324F,No Summary found for this code
3325F,No Summary found for this code
3328F,No Summary found for this code
3330F,No Summary found for this code
3331F,No Summary found for this code
3340F,No Summary found for this code
3341F,No Summary found for this code
3342F,No Summary found for this code
3343F,No Summary found for this code
3344F,No Summary found for this code
3345F,No Summary found for this code
3350F,No Summary found for this code
3351F,No Summary found for this code
3352F,No Summary found for this code
3353F,No Summary found for this code
3354F,No Summary found for this code
3370F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage 0, wherein the patient shows no signs or symptoms of the disease."
3372F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage I, with a subclassification of T1mic, T1a, or T1b. T1mic designates microinvasion, which means a very small tumor of 0.1 cm, or smaller in greatest dimension. T1a designates a tumor larger than 0.1 cm but not more than 0.5 cm in greatest dimension. T1b designates a tumor that is more than 0.5 cm but less than 1 cm, or 10 mm, in greatest dimension."
3374F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage I, with a subclassification of T1c, wherein the size of the tumor is greater than 1 cm but less than or equal to 2cm in its greatest dimension."
3376F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage II, wherein the size of the tumor is less than or equal to 5 cm in its greatest dimension with some spread to lymph nodes or greater than 5 cm with no spread to lymph nodes."
3378F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage III, with a tumor of any size, typically with lymph node involvement."
3380F,"The provider diagnoses a female patient, 18 years of age or older, with breast cancer and documents it as stage IV, wherein the size of the tumor may be of any dimension and distant metastases, or spread of the cancer, is present."
3382F,"The provider diagnoses a patient, 18 years of age or older, with colon cancer and documents it at stage 0, wherein the cancer cells are limited to the epithelial layer, or lining of the colon, also known as carcinoma in situ."
3384F,"The provider diagnoses a patient, 18 years of age or older, with colon cancer and documents it as stage I, which means the tumor invades the submucosa or muscularis propria, the inner layers of the colon."
3386F,"The provider diagnoses a patient, 18 years of age or older, with colon cancer and documents it as stage II, wherein the tumor invades the deepest layers of the colon, from the muscularis propria into the pericolorectal tissues. It may reach the visceral peritoneum (inside of the membrane lining the abdomen) and adhere to or invade other organs or structures."
3388F,"The provider diagnoses a patient, 18 years of age or older, with colon cancer and documents it as stage III, which means the tumor invades any layer of the colon, may attack other organs or structures, and includes regional lymph node involvement."
3390F,"The provider diagnoses a patient, 18 years of age or older, with colon cancer and documents it as stage IV, wherein the tumor invades any layer of the colon, involves regional lymph nodes, and includes distant metastases (spread of cancer) to other organs or structures."
3394F,No Summary found for this code
3395F,No Summary found for this code
3450F,No Summary found for this code
3451F,No Summary found for this code
3452F,No Summary found for this code
3455F,"Rheumatoid arthritis patients who are on disease modifying antirheumatic drug therapy are at a higher risk for reactivation of a latent tuberculosis infection. Latent tuberculosis means that the patient is infected with the tuberculosis bacteria (TB) however, the patient does not have active tuberculosis. The provider screens the rheumatoid arthritis patient for TB before starting a disease–modifying antirheumatic drug therapy."
3470F,"The rheumatoid arthritis disease activity score determines the disease activity level of a patient, which helps assess the degree of inflammation and the patient’s level of pain due to rheumatoid arthritis. The provider may adjust the patient’s rheumatoid arthritis medication depending on the results of the score. The provider reports this code when a patient has a low RA score."
3471F,The rheumatoid arthritis disease activity score determines the disease activity level of a patient which helps assess the degree of inflammation and the patient’s level of pain due to rheumatoid arthritis. The provider may adjust the patient’s rheumatoid arthritis medication depending on the results of the score.The provider reports this code when a patient has a moderate RA score.
3472F,The rheumatoid arthritis disease activity score determines the disease activity level of a patient which helps assess the degree of inflammation and the patient’s level of pain due to rheumatoid arthritis. The provider may adjust the patient’s rheumatoid arthritis medication depending on the results of the score. The provider reports this code when a patient has a high RA score.
3475F,"The provider assesses the disease prognosis, or the future progression of a disease in a patient with rheumatoid arthritis to determine the severity and persistence of the disease activity. The provider reports this code when the patient has a poor prognosis."
3476F,"The provider assesses the disease prognosis, or the future progression of a disease in a patient with rheumatoid arthritis to determine the severity and persistence of the disease activity. The provider reports this code when the patient has a good prognosis."
3490F,No Summary found for this code
3491F,No Summary found for this code
3492F,No Summary found for this code
3493F,No Summary found for this code
3494F,"A cluster of differentiation 4, or CD4+, cell count is a blood test which shows how well the immune system is working in people who have human immunodeficiency virus, or HIV. The provider uses the test to determine the number of CD4+ cells in the patient’s body, which gives him an idea of the developing infections in the patient’s body. He documents a CD4+ cell count of less than 200 cells per microliter."
3495F,"A cluster of differentiation 4, or CD4+ cell count is a blood test which shows how well the immune system is working in people who have human immunodeficiency virus, or HIV. The provider uses the test to determine the number of CD4+ cells in the patient’s body which gives him an idea of the developing infections in the patient. The provider documents a CD4+ cell count of 200 to 499 cells per microliter of blood."
3496F,"A cluster of differentiation 4, or CD4+ cell count is a blood test which shows how well the immune system is working in people who have human immunodeficiency virus, or HIV. The provider uses the test to determine the number of CD4+ cells in the patient’s body, which gives him an idea of the developing infections in the patient’s body. He documents a CD4+ cell count of more than or equal to 500 cells per microliter."
3497F,No Summary found for this code
3498F,"A cluster of differentiation 4, or CD4+ cell percentage is a blood test which shows how well the immune system is working in people who have human immunodeficiency virus, or HIV. The provider uses the test to determine the percentage of CD4+ cells in the patient’s body, which gives him an idea of the developing infections in the patient’s body. He documents a CD4+ cell percentage of more than or equal to 15 percent."
3500F,No Summary found for this code
3502F,No Summary found for this code
3503F,No Summary found for this code
3510F,The provider documents tuberculosis screening and interprets the results in a patient with inflammatory bowel disease.
3511F,No Summary found for this code
3512F,No Summary found for this code
3513F,No Summary found for this code
3514F,No Summary found for this code
3515F,No Summary found for this code
3517F,The provider documents hepatitis B virus screening and interprets the results within a year prior to a patient with inflammatory bowel disease receiving a first course of tumor necrosis factor (TNF) inhibitor therapy.
3520F,No Summary found for this code
3550F,No Summary found for this code
3551F,No Summary found for this code
3552F,No Summary found for this code
3555F,No Summary found for this code
3570F,No Summary found for this code
3572F,No Summary found for this code
3573F,No Summary found for this code
3650F,No Summary found for this code
3700F,Psychiatric disorders are any abnormality in the mental or behavior pattern of a patient that alters the normal daily life of the individual. The provider performs tests to diagnose and review a psychiatric disorder in a patient.
3720F,"Cognitive impairment is a disorder that affects the memory of, or alters the behavior of a patient. These disorders might lead to a loss of memory, problems with thinking, and language. The provider performs tests to review and diagnose cognitive disorders in a patient."
3725F,"The provider screens a patient with dementia for the presence of depression, which is a mental disorder characterized by sadness, guilt feelings, hopelessness, or irritability."
3750F,The provider does not administer corticosteroid medication at a dose greater than or equal to 10 mg per day for 60 or more consecutive days in a patient with inflammatory bowel disease.
3751F,No Summary found for this code
3752F,No Summary found for this code
3753F,No Summary found for this code
3754F,No Summary found for this code
3755F,No Summary found for this code
3756F,No Summary found for this code
3757F,No Summary found for this code
3758F,No Summary found for this code
3759F,No Summary found for this code
3760F,No Summary found for this code
3761F,No Summary found for this code
3762F,No Summary found for this code
3763F,No Summary found for this code
3775F,"The provider screens the colon of a patient who is 50 or older using a colonoscope, a flexible tube with a camera at one end, and documents the presence of one or more adenomas or other neoplasm types."
3776F,"The provider screens the colon of a patient who is 50 or older using a colonoscope, a flexible tube with a camera at one end, and documents that she did not identify any adenoma or other neoplasm type."
4000F,A provider determines that a patient who presents with a diagnosis of asthma uses tobacco and or has an exposure to a passive smoking environment. The provider then does a brief counseling session with the patient and or caregiver regarding patient smoking cessation and or elimination of the passive smoke exposure.
4001F,A provider determines that a patient who presents with a diagnosis of asthma uses tobacco and or has an exposure to a passive smoking environment. The provider then discusses the use of medication for smoking cessation with the patient or family member who smokes.
4002F,No Summary found for this code
4003F,No Summary found for this code
4004F,"The provider screens a patient of 18 years of age or older for the use of tobacco. If he identifies the patient as a tobacco user, the provider offers cessation counseling or drugs or a combination of both to the patient."
4005F,No Summary found for this code
4006F,No Summary found for this code
4007F,No Summary found for this code
4008F,No Summary found for this code
4009F,No Summary found for this code
4010F,"A provider reports this code to indicate that he prescribes for a patient or the patient is currently on an angiotensin converting enzyme, or ACE Inhibitor, or a angiotensin receptor blocker, or ARB therapy."
4011F,"The provider prescribes a drug that prevents platelets, a component of blood, from sticking together, which can cause heart attacks and strokes."
4012F,No Summary found for this code
4013F,A provider uses this code to report that the provider prescribes or the patient is currently taking a statin therapy. Statins are drugs that lower the level of cholesterol in blood as it reduces its production in liver. The provider may adjust the patient’s statin therapy depending on his condition.
4014F,No Summary found for this code
4015F,No Summary found for this code
4016F,No Summary found for this code
4017F,No Summary found for this code
4018F,No Summary found for this code
4019F,No Summary found for this code
4025F,"The provider prescribes an inhaled bronchodilator medication in a patient with a diagnosis of chronic obstructive pulmonary disease, or COPD."
4030F,No Summary found for this code
4033F,No Summary found for this code
4035F,The provider recommends influenza vaccination to provide protection against influenza in a patient with chronic inflammatory bowel disease due to the risk of life threatening complications from this highly contagious respiratory virus.
4037F,The provider orders or administers influenza vaccination to provide protection against influenza in a patient undergoing treatment for inflammatory bowel disease due to the risk of life threatening complications from this highly contagious respiratory virus.
4040F,"Pneumococcal vaccine triggers the immune response of the patient and protects against infection from pneumococcus bacteria, an infectious organism. The provider administers the vaccine to all children younger than five years of age and all adults who are older than 65 years. He also administers the vaccine to individuals of six through 64 years of age with certain medical conditions, like asthma, which is a lung condition. He reports this code either when the individual receives the vaccine, or if the individual received the vaccine previously."
4041F,No Summary found for this code
4042F,The provider reports this code for a patient when he does not administer prophylactic antibiotics within four hours prior to a surgical incision or during the surgical procedure.
4043F,No Summary found for this code
4044F,The provider reports this code when he documents the order to administer prophylactic therapy for venous thromboembolism to a patient within 24 hours before a surgical procedure or 24 hours after the surgical procedure.
4045F,No Summary found for this code
4046F,The provider reports this code for a patient that he documents the administration of prophylactic antibiotics within four hours prior to a surgical incision or during the surgical procedure.
4047F,No Summary found for this code
4048F,No Summary found for this code
4049F,The provider reports this code for a patient who underwent a noncardiac procedure and he documents the order to discontinue prophylactic antibiotics within 24 hours after the end of surgery.
4050F,No Summary found for this code
4051F,No Summary found for this code
4052F,No Summary found for this code
4053F,No Summary found for this code
4054F,No Summary found for this code
4055F,No Summary found for this code
4056F,No Summary found for this code
4058F,No Summary found for this code
4060F,No Summary found for this code
4062F,No Summary found for this code
4063F,No Summary found for this code
4064F,No Summary found for this code
4065F,No Summary found for this code
4066F,No Summary found for this code
4067F,No Summary found for this code
4069F,No Summary found for this code
4070F,No Summary found for this code
4073F,No Summary found for this code
4075F,No Summary found for this code
4077F,No Summary found for this code
4079F,No Summary found for this code
4084F,No Summary found for this code
4086F,"The provider prescribes, or the patient is currently taking aspirin or clopidogrel, a medication that prevents heart attack in patients and blood circulation diseases in patients at risk. The provider prescribes aspirin to treat or prevent coronary artery disease, or CAD, stroke, and chest pain in patients."
4090F,No Summary found for this code
4095F,No Summary found for this code
4100F,No Summary found for this code
4110F,"When there is narrowing, stiffness, or blockage of the coronary arteries and the patient has symptoms such as chest pain, the provider tests the patient and confirms a clinical diagnosis of heart disease. The provider then performs a coronary artery bypass graft surgery using an internal mammary graft to treat the condition and relieve the chest pain and other symptoms. An internal mammary artery graft, also known as an internal thoracic artery graft, is the most common graft taken from the chest area of a patient for a coronary artery bypass graft, or CABG procedure."
4115F,"When the patient undergoes coronary artery bypass graft surgery, the provider administers a beta blocker to the patient within 24 hours before the surgery.  Beta blockers help blood vessels open up to improve blood flow. The provider uses this code to report the administration of a beta blocker."
4120F,No Summary found for this code
4124F,No Summary found for this code
4130F,No Summary found for this code
4131F,No Summary found for this code
4132F,No Summary found for this code
4133F,No Summary found for this code
4134F,No Summary found for this code
4135F,No Summary found for this code
4136F,No Summary found for this code
4140F,The provider reports this code when he advises the intake of inhaled corticosteroids for a patient with a diagnosis of persistent asthma.
4142F,"The provider prescribes corticosteroid sparing medication, such as an immunomodular drug, to treat inflammatory bowel disease (IBD) without the side effects of corticosteroids."
