Hospital,Description,CPT,Charge
AHMC Anaheim Regional Medical Center,"Excision of cyst or adenoma of thyroid, or transection of isthmus",60200,4579
AHMC Anaheim Regional Medical Center,Repair of complex retinal detachment,67113,39383
AHMC Anaheim Regional Medical Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,0
AHMC Anaheim Regional Medical Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,0
AHMC Anaheim Regional Medical Center,Laparoscopic Cholecystectomy,47562,44487
AHMC Anaheim Regional Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,22482
AHMC Anaheim Regional Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62311,24517
AHMC Anaheim Regional Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,33998
AHMC Anaheim Regional Medical Center,"Excision, Breast Lesion",19120,26218
AHMC Anaheim Regional Medical Center,"Endoscopy, Upper GI, diagnostic",43235,29351
AHMC Anaheim Regional Medical Center,"Endoscopy, Upper GI, with biopsy",43239,24745
AHMC Anaheim Regional Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,2576
AHMC Anaheim Regional Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,13831
AHMC Anaheim Regional Medical Center,"Colonoscopy, with biopsy",45380,16107
AHMC Anaheim Regional Medical Center,"Colonoscopy, diagnostic",45378,12333
AHMC Anaheim Regional Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,29104
AHMC Anaheim Regional Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,29424
AHMC Anaheim Regional Medical Center,"Troponin, Quantitative",84484,273
Adventist Health And Rideout,"Physical Therapy, Evaluation",97161,160.9
Adventist Health And Rideout,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,11641.48
Adventist Health And Rideout,"Troponin, Quantitative",84484,276.27
Adventist Health And Rideout,Thyroid Stimulating Hormone,84443,221.23
Adventist Health And Rideout,Prothrombin Time,85610,135.49
Adventist Health And Rideout,Partial Thromboplastin Time,85730,181.01
Adventist Health And Rideout,Lipid Panel,80061,208.53
Adventist Health And Rideout,"Creatine Kinase (CK), (CPK), Total",82550,183.12
Adventist Health And Rideout,Comprehensive Metabolic Panel,80053,334.49
Adventist Health And Rideout,"Complete Blood Count, with differential WBC, automated",85025,192.65
Adventist Health And Rideout,"Complete Blood Count, automated",85027,150.31
Adventist Health And Rideout,Basic Metabolic Panel,80048,268.86
Adventist Health And Rideout,"Outpatient Visit, established patient, 15 minutes",99213,314.38
Adventist Health And Rideout,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,2119.16
Adventist Health And Rideout,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1207.77
Adventist Health And Rideout,"Emergency Room Visit, Level 3 (moderate severity)",99283,636.17
Adventist Health And Rideout,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,463.63
Adventist Health And Rideout,"Urinalysis, with microscopy",81001,106.91
Adventist Health And Rideout,"Urinalysis, with microscopy",81000,106.91
Adventist Health And Rideout,"CT Scan, Abdomen, with contrast",74160,4750.64
Adventist Health And Rideout,"CT Scan, Head or Brain, without contrast",70450,5354
Adventist Health And Rideout,"CT Scan, Pelvis, with contrast",72193,4479.66
Adventist Health And Rideout,"MRI, Brain, without contrast, followed by contrast",70553,4899.9
Adventist Health And Rideout,Laparoscopic Cholecystectomy,47562,26434.42
Adventist Health And Rideout,"Hernia Repair, Inguinal, 5 years and older",49505,26313.75
Adventist Health And Rideout,"Excision, Breast Lesion, without preoperative radiological marker",19120,18260.19
Adventist Health And Rideout,"Endoscopy, Upper GI, diagnostic",43235,9185.13
Adventist Health And Rideout,"Endoscopy, Upper GI, with biopsy",43239,9036.33
Adventist Health And Rideout,"Colonoscopy, with lesion removal, by snare technique",45385,8525.97
Adventist Health And Rideout,"Colonoscopy, with biopsy",45380,8039
Adventist Health And Rideout,"Colonoscopy, diagnostic",45378,5556.11
Adventist Health And Rideout,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,14226.17
Adventist Health And Rideout,Carpal Tunnel Surgery,64721,13804.76
Adventist Health And Rideout,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,18155.59
Adventist Health And Rideout,"Physical Therapy, Therapeutic Exercise",97110,192.65
Adventist Health And Rideout,"Inhalation Treatment, pressurized or nonpressurized",94640,89.97
Adventist Health And Rideout,"Cardiac Catheterization, Left Heart, percutaneous ",93452,34413.59
Adventist Health And Rideout,"X-Ray, Chest, two views",71046,353.55
Adventist Health And Rideout,"X-Ray, Lower Back, minimum four views",72110,853.17
Adventist Health And Rideout,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1713.75
Adventist Health And Rideout,"Ultrasound, Abdomen, Complete",76700,1713.75
Adventist Health And Rideout,"Arthroscopy, Shoulder, with partial acromioplasty",29826,36898.07
Adventist Health And Rideout,"Urinalysis, without microscopy",81003,80.45
Adventist Health And Rideout,"Urinalysis, without microscopy",81002,80.45
Adventist Health And Rideout,"Physical Therapy, Evaluation",97162,160.9
Adventist Health And Rideout,"Physical Therapy, Evaluation",97163,160.9
Adventist Health Bakersfield,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,1710.38
Adventist Health Bakersfield,"Troponin, Quantitative",84484,212.96
Adventist Health Bakersfield,"CT Scan, Abdomen, with contrast",74160,458.68
Adventist Health Bakersfield,"CT Scan, Head or Brain, without contrast",70450,3391.04
Adventist Health Bakersfield,"CT Scan, Pelvis, with contrast",72193,3483.73
Adventist Health Bakersfield,"Mammography, Screening, Bilateral",77067,240.93
Adventist Health Bakersfield,"MRI, Brain, without contrast, followed by contrast",70553,847.87
Adventist Health Bakersfield,"Physical Therapy, Therapeutic Exercise",97110,150.32
Adventist Health Bakersfield,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,15271.57
Adventist Health Bakersfield,"Arthroscopy, Shoulder, with partial acromioplasty",29826,13074.76
Adventist Health Bakersfield,Carpal Tunnel Surgery,64721,5344.07
Adventist Health Bakersfield,"Ultrasound, Abdomen, Complete",76700,207.34
Adventist Health Bakersfield,"Colonoscopy, diagnostic",45378,2730.21
Adventist Health Bakersfield,"Colonoscopy, with biopsy",45380,2529.58
Adventist Health Bakersfield,"Colonoscopy, with lesion removal, by snare technique",45385,2351.04
Adventist Health Bakersfield,"Endoscopy, Upper GI, with biopsy",43239,2296.53
Adventist Health Bakersfield,"Endoscopy, Upper GI, diagnostic",43235,2854.65
Adventist Health Bakersfield,"Excision, Breast Lesion, without preoperative radiological marker",19120,15271.57
Adventist Health Bakersfield,"Hernia Repair, Inguinal, 5 years and older",49505,17964.54
Adventist Health Bakersfield,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,15271.57
Adventist Health Bakersfield,Laparoscopic Cholecystectomy,47562,15271.57
Adventist Health Bakersfield,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,5409.12
Adventist Health Bakersfield,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,8359.83
Adventist Health Bakersfield,Thyroid Stimulating Hormone,84443,176.72
Adventist Health Bakersfield,Prothrombin Time,85610,108.25
Adventist Health Bakersfield,Partial Thromboplastin Time,85730,60.24
Adventist Health Bakersfield,"Emergency Room Visit, Level 3 (moderate severity)",99283,987.14
Adventist Health Bakersfield,"Urinalysis, without microscopy",81003,62.64
Adventist Health Bakersfield,"Urinalysis, with microscopy",81000,117.82
Adventist Health Bakersfield,"Urinalysis, with microscopy",81001,117.82
Adventist Health Bakersfield,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,730.66
Adventist Health Bakersfield,"X-Ray, Lower Back, minimum four views",72110,147.2
Adventist Health Bakersfield,"X-Ray, Chest, two views",71046,368.47
Adventist Health Bakersfield,"Inhalation Treatment, pressurized or nonpressurized",94640,610.46
Adventist Health Bakersfield,"Physical Therapy, Gait Training",97116,150.32
Adventist Health Bakersfield,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,618.08
Adventist Health Bakersfield,Lipid Panel,80061,180.74
Adventist Health Bakersfield,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1293.61
Adventist Health Bakersfield,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,2348.44
Adventist Health Bakersfield,"Outpatient Visit, established patient, 15 minutes",99213,303.08
Adventist Health Bakersfield,Basic Metabolic Panel,80048,410.88
Adventist Health Bakersfield,"Blood Gas Analysis, including 02 saturation",82805,384.58
Adventist Health Bakersfield,"Complete Blood Count, automated",85027,125.26
Adventist Health Bakersfield,"Complete Blood Count, with differential WBC, automated",85025,170.35
Adventist Health Bakersfield,Comprehensive Metabolic Panel,80053,89.19
Adventist Health Bakersfield,"Creatine Kinase (CK), (CPK), Total",82550,147.78
Adventist Health Bakersfield,"Physical Therapy, Evaluation",97161,675.2
Adventist Health Bakersfield,"Physical Therapy, Evaluation",97162,675.2
Adventist Health Bakersfield,"Physical Therapy, Evaluation",97163,675.2
Adventist Health Bakersfield,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,1710.38
Adventist Health Bakersfield,"Urinalysis, without microscopy",81002,62.64
Adventist Health Clearlake,"Emergency Room Visit, Level 3 (moderate severity)",99283,1467
Adventist Health Clearlake,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2762
Adventist Health Clearlake,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,745
Adventist Health Clearlake,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,4160
Adventist Health Clearlake,Basic Metabolic Panel,80048,134
Adventist Health Clearlake,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,5800.656667
Adventist Health Clearlake,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,5800.656667
Adventist Health Clearlake,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,9061.714286
Adventist Health Clearlake,Laparoscopic Cholecystectomy,47562,18289.2
Adventist Health Clearlake,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,5731.405714
Adventist Health Clearlake,"Endoscopy, Upper GI, diagnostic",43235,11578
Adventist Health Clearlake,"Endoscopy, Upper GI, with biopsy",43239,11253.89603
Adventist Health Clearlake,"Outpatient Visit, established patient, 15 minutes",99213,178.81
Adventist Health Clearlake,"Colonoscopy, with biopsy",45380,10955.58279
Adventist Health Clearlake,"Colonoscopy, diagnostic",45378,6310.3475
Adventist Health Clearlake,"Colonoscopy, with lesion removal, by snare technique",45385,11295.46712
Adventist Health Clearlake,Thyroid Stimulating Hormone,84443,199.5462486
Adventist Health Clearlake,Prothrombin Time,85610,77.2756392
Adventist Health Clearlake,Partial Thromboplastin Time,85730,106.0370342
Adventist Health Clearlake,Lipid Panel,80061,229.9406667
Adventist Health Clearlake,"Creatine Kinase (CK), (CPK), Total",82550,137
Adventist Health Clearlake,Comprehensive Metabolic Panel,80053,160
Adventist Health Clearlake,"Complete Blood Count, with differential WBC, automated",85025,126
Adventist Health Clearlake,"Complete Blood Count, automated",85027,107
Adventist Health Clearlake,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,14308.19048
Adventist Health Clearlake,"Hernia Repair, Inguinal, 5 years and older",49505,19039.75
Adventist Health Glendale,"Physical Therapy, Gait Training",97116,120
Adventist Health Glendale,"Physical Therapy, Therapeutic Exercise",97110,120
Adventist Health Glendale,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,31795
Adventist Health Glendale,"Arthroscopy, Shoulder, with partial acromioplasty",29826,55600
Adventist Health Glendale,Carpal Tunnel Surgery,64721,23155
Adventist Health Glendale,Laparoscopic Cholecystectomy,47562,32670
Adventist Health Glendale,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,924
Adventist Health Glendale,"Echocardiography, Transthoracic, complete, without Doppler",93307,4948
Adventist Health Glendale,"Cardiac Catheterization, Left Heart, percutaneous ",93452,13738
Adventist Health Glendale,"X-Ray, Chest, two views",71046,564
Adventist Health Glendale,"X-Ray, Lower Back, minimum four views",72110,1399
Adventist Health Glendale,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,2769
Adventist Health Glendale,"Ultrasound, Abdomen, Complete",76700,2633
Adventist Health Glendale,"MRI, Brain, without contrast, followed by contrast",70553,10080
Adventist Health Glendale,"Mammography, Screening, Bilateral",77067,857
Adventist Health Glendale,"CT Scan, Pelvis, with contrast",72193,6340
Adventist Health Glendale,"CT Scan, Head or Brain, without contrast",70450,5514
Adventist Health Glendale,"CT Scan, Abdomen, with contrast",74160,4673
Adventist Health Glendale,"Troponin, Quantitative",84484,357
Adventist Health Glendale,"Colonoscopy, diagnostic",45378,4925
Adventist Health Glendale,Thyroid Stimulating Hormone,84443,132
Adventist Health Glendale,Partial Thromboplastin Time,85730,67
Adventist Health Glendale,Lipid Panel,80061,105
Adventist Health Glendale,"Creatine Kinase (CK), (CPK), Total",82550,219
Adventist Health Glendale,Comprehensive Metabolic Panel,80053,146
Adventist Health Glendale,"Complete Blood Count, with differential WBC, automated",85025,87
Adventist Health Glendale,"Complete Blood Count, automated",85027,115
Adventist Health Glendale,"Blood Gas Analysis, including 02 saturation",82805,653
Adventist Health Glendale,Basic Metabolic Panel,80048,97
Adventist Health Glendale,"Outpatient Visit, established patient, 15 minutes",99213,554
Adventist Health Glendale,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3012
Adventist Health Glendale,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2194
Adventist Health Glendale,"Emergency Room Visit, Level 3 (moderate severity)",99283,1309
Adventist Health Glendale,Prothrombin Time,85610,54
Adventist Health Glendale,"Colonoscopy, with biopsy",45380,7875
Adventist Health Glendale,"Inhalation Treatment, pressurized or nonpressurized",94640,416
Adventist Health Glendale,"Endoscopy, Upper GI, with biopsy",43239,7050
Adventist Health Glendale,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,17915
Adventist Health Glendale,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,17915
Adventist Health Glendale,"Physical Therapy, Evaluation",97163,597
Adventist Health Glendale,"Physical Therapy, Evaluation",97161,597
Adventist Health Glendale,"Physical Therapy, Evaluation",97162,597
Adventist Health Glendale,"Colonoscopy, with lesion removal, by snare technique",45385,8320
Adventist Health Glendale,"Urinalysis, with microscopy",81001,70
Adventist Health Glendale,"Urinalysis, with microscopy",81000,70
Adventist Health Glendale,"Urinalysis, without microscopy",81003,83
Adventist Health Glendale,"Urinalysis, without microscopy",81002,83
Adventist Health Glendale,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,20630
Adventist Health Glendale,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,34350
Adventist Health Glendale,"Electrocardiogram, routine, with interpretation and report",93000,4948
Adventist Health Glendale,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,19350
Adventist Health Glendale,"Hernia Repair, Inguinal, 5 years and older",49505,30845
Adventist Health Glendale,"Excision, Breast Lesion, without preoperative radiological marker",19120,31580
Adventist Health Glendale,"Endoscopy, Upper GI, diagnostic",43235,6065
Adventist Health Howard Memorial,"Colonoscopy, diagnostic",45378,5775.194737
Adventist Health Howard Memorial,"Colonoscopy, with biopsy",45380,7282.188627
Adventist Health Howard Memorial,"Tendon sheath incision (eg, for trigger finger)",26055,5805.195556
Adventist Health Howard Memorial,"Endoscopy, Upper GI, with biopsy",43239,6426.298125
Adventist Health Howard Memorial,"Endoscopy, Upper GI, diagnostic",43235,6426.298125
Adventist Health Howard Memorial,"Hernia Repair, Inguinal, 5 years and older",49505,30199.23762
Adventist Health Howard Memorial,Laparoscopic Cholecystectomy,47562,45672.83429
Adventist Health Howard Memorial,"Colonoscopy, flexible; with removal of tumor(s),polyp(s)",45384,7748.73625
Adventist Health Howard Memorial,"Bronchoscopy, rigid or flexible, including fluoroscopic guid",31628,15472.71438
Adventist Health Howard Memorial,"Colonoscopy, with lesion removal, by snare technique",45385,8153.922857
Adventist Health Howard Memorial,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,10697.71179
Adventist Health Howard Memorial,Carpal Tunnel Surgery,64721,7350.494694
Adventist Health Howard Memorial,"Complete Blood Count, with differential WBC, automated",85025,117
Adventist Health Howard Memorial,Basic Metabolic Panel,80048,137
Adventist Health Howard Memorial,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3002
Adventist Health Howard Memorial,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1992
Adventist Health Howard Memorial,Comprehensive Metabolic Panel,80053,165
Adventist Health Howard Memorial,"Creatine Kinase (CK), (CPK), Total",82550,137
Adventist Health Howard Memorial,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,27766.489
Adventist Health Howard Memorial,Partial Thromboplastin Time,85730,103.61
Adventist Health Howard Memorial,Prothrombin Time,85610,71.78
Adventist Health Howard Memorial,Thyroid Stimulating Hormone,84443,201.89
Adventist Health Howard Memorial,"Emergency Room Visit, Level 3 (moderate severity)",99283,1058
Adventist Health Howard Memorial,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,537
Adventist Health Howard Memorial,Lipid Panel,80061,233.01
Adventist Health Lodi Memorial,"Echocardiography, Transthoracic, complete, without Doppler",93307,2948
Adventist Health Lodi Memorial,"Ultrasound, Abdomen, Complete",76700,941
Adventist Health Lodi Memorial,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,941
Adventist Health Lodi Memorial,"X-Ray, Lower Back, minimum four views",72110,252
Adventist Health Lodi Memorial,"X-Ray, Chest, two views",71046,172
Adventist Health Lodi Memorial,"Physical Therapy, Evaluation",97161,338
Adventist Health Lodi Memorial,"Urinalysis, without microscopy",81003,21
Adventist Health Lodi Memorial,"Physical Therapy, Therapeutic Exercise",97110,161
Adventist Health Lodi Memorial,"Urinalysis, with microscopy",81001,27
Adventist Health Lodi Memorial,"Urinalysis, with microscopy",81000,27
Adventist Health Lodi Memorial,"MRI, Brain, without contrast, followed by contrast",70553,6243
Adventist Health Lodi Memorial,"Urinalysis, without microscopy",81002,21
Adventist Health Lodi Memorial,"Physical Therapy, Gait Training",97116,192
Adventist Health Lodi Memorial,"CT Scan, Pelvis, with contrast",72193,2007
Adventist Health Lodi Memorial,"Inhalation Treatment, pressurized or nonpressurized",94640,383
Adventist Health Lodi Memorial,"CT Scan, Abdomen, with contrast",74160,2007
Adventist Health Lodi Memorial,"Physical Therapy, Evaluation",97162,338
Adventist Health Lodi Memorial,"Physical Therapy, Evaluation",97163,338
Adventist Health Lodi Memorial,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1394
Adventist Health Lodi Memorial,"Emergency Room Visit, Level 3 (moderate severity)",99283,1911
Adventist Health Lodi Memorial,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2560
Adventist Health Lodi Memorial,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3594
Adventist Health Lodi Memorial,"Outpatient Visit, established patient, 15 minutes",99213,187
Adventist Health Lodi Memorial,Basic Metabolic Panel,80048,68
Adventist Health Lodi Memorial,"CT Scan, Head or Brain, without contrast",70450,1173
Adventist Health Lodi Memorial,"Creatine Kinase (CK), (CPK), Total",82550,52
Adventist Health Lodi Memorial,"Troponin, Quantitative",84484,79
Adventist Health Lodi Memorial,Thyroid Stimulating Hormone,84443,134
Adventist Health Lodi Memorial,Prothrombin Time,85610,32
Adventist Health Lodi Memorial,Partial Thromboplastin Time,85730,49
Adventist Health Lodi Memorial,Lipid Panel,80061,106
Adventist Health Lodi Memorial,Comprehensive Metabolic Panel,80053,84
Adventist Health Lodi Memorial,"Complete Blood Count, with differential WBC, automated",85025,63
Adventist Health Lodi Memorial,"Complete Blood Count, automated",85027,52
Adventist Health Lodi Memorial,"Blood Gas Analysis, including 02 saturation",82805,433
Adventist Health Reedley,"Emergency Room Visit, Level 3 (moderate severity)",99283,2150.46
Adventist Health Reedley,"Physical Therapy, Therapeutic Exercise",97110,140.14
Adventist Health Reedley,"Physical Therapy, Gait Training",97116,140.14
Adventist Health Reedley,"Inhalation Treatment, pressurized or nonpressurized",94640,535.29
Adventist Health Reedley,"X-Ray, Chest, two views",71046,569.13
Adventist Health Reedley,"X-Ray, Lower Back, minimum four views",72110,976.07
Adventist Health Reedley,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1224.01
Adventist Health Reedley,"Mammography, Screening, Bilateral",77067,499.98
Adventist Health Reedley,"CT Scan, Head or Brain, without contrast",70450,2819.06
Adventist Health Reedley,"Urinalysis, with microscopy",81001,80.95
Adventist Health Reedley,"Urinalysis, without microscopy",81003,40.6
Adventist Health Reedley,"Troponin, Quantitative",84484,176.45
Adventist Health Reedley,Thyroid Stimulating Hormone,84443,169.99
Adventist Health Reedley,Partial Thromboplastin Time,85730,117.88
Adventist Health Reedley,Lipid Panel,80061,252.04
Adventist Health Reedley,"Creatine Kinase (CK), (CPK), Total",82550,125.08
Adventist Health Reedley,Comprehensive Metabolic Panel,80053,301.24
Adventist Health Reedley,"Complete Blood Count, with differential WBC, automated",85025,127.13
Adventist Health Reedley,"Complete Blood Count, automated",85027,102.69
Adventist Health Reedley,Basic Metabolic Panel,80048,198.41
Adventist Health Reedley,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3601.36
Adventist Health Reedley,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2754.78
Adventist Health Reedley,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1426.4
Adventist Health Reedley,Prothrombin Time,85610,103.54
Adventist Health Reedley,"Ultrasound, Abdomen, Complete",76700,1224.01
Adventist Health Simi Valley,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2879.91
Adventist Health Simi Valley,"CT Scan, Pelvis, with contrast",72193,4448.73
Adventist Health Simi Valley,"Mammography, Screening, Bilateral",77067,705.71
Adventist Health Simi Valley,"MRI, Brain, without contrast, followed by contrast",70553,7612.08
Adventist Health Simi Valley,"Ultrasound, Abdomen, Complete",76700,2290.59
Adventist Health Simi Valley,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1325.85
Adventist Health Simi Valley,"X-Ray, Lower Back, minimum four views",72110,1033.07
Adventist Health Simi Valley,"CT Scan, Head or Brain, without contrast",70450,4396.77
Adventist Health Simi Valley,"X-Ray, Chest, two views",71046,686.27
Adventist Health Simi Valley,"Echocardiography, Transthoracic, complete, without Doppler",93307,2866.38
Adventist Health Simi Valley,"Inhalation Treatment, pressurized or nonpressurized",94640,248.18
Adventist Health Simi Valley,"Physical Therapy, Gait Training",97116,161.72
Adventist Health Simi Valley,"Physical Therapy, Therapeutic Exercise",97110,136.44
Adventist Health Simi Valley,"Arthroscopy, Shoulder, with partial acromioplasty",29826,30791.54
Adventist Health Simi Valley,Carpal Tunnel Surgery,64721,10139.24
Adventist Health Simi Valley,"Cardiac Catheterization, Left Heart, percutaneous ",93452,51088.79
Adventist Health Simi Valley,"Colonoscopy, diagnostic",45378,4921.78
Adventist Health Simi Valley,"CT Scan, Abdomen, with contrast",74160,3428.66
Adventist Health Simi Valley,Thyroid Stimulating Hormone,84443,31.15
Adventist Health Simi Valley,"Urinalysis, without microscopy",81003,13.5
Adventist Health Simi Valley,"Urinalysis, without microscopy",81002,13.5
Adventist Health Simi Valley,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1058.19
Adventist Health Simi Valley,"Emergency Room Visit, Level 3 (moderate severity)",99283,1876.87
Adventist Health Simi Valley,"Emergency Room Visit, Level 5 (high severity with significant threat)",99285,4386.15
Adventist Health Simi Valley,"Outpatient Visit, established patient, 15 minutes",99213,117.48
Adventist Health Simi Valley,"Troponin, Quantitative",84484,18.24
Adventist Health Simi Valley,Basic Metabolic Panel,80048,11.6
Adventist Health Simi Valley,"Complete Blood Count, with differential WBC, automated",85025,14.41
Adventist Health Simi Valley,Comprehensive Metabolic Panel,80053,19.59
Adventist Health Simi Valley,"Creatine Kinase (CK), (CPK), Total",82550,12.07
Adventist Health Simi Valley,Lipid Panel,80061,18.24
Adventist Health Simi Valley,Partial Thromboplastin Time,85730,11.13
Adventist Health Simi Valley,Prothrombin Time,85610,10.29
Adventist Health Simi Valley,"Complete Blood Count, automated",85027,11.99
