CPT Code,Zip,In-Network,Out-Network
82805,92123,$296,$703
82805,96001,$481,"$1,117"
82805,91403,$258,$599
82805,95817,$378,$898
82805,95945,$481,"$1,117"
82805,93257,$190,$458
82805,95823,$378,$898
82805,93405,$251,$589
82805,95476,$481,"$1,117"
82805,90028,$414,$960
82805,92595,$268,$637
82805,93720,$152,$379
82805,92404,$518,"$1,198"
82805,96080,$481,"$1,117"
82805,90262,$687,"$1,584"
82805,94109,$399,$918
82805,93010,$121,$303
82805,93030,$121,$303
82805,95501,$481,"$1,117"
82805,92868,$280,$661
82805,95204,$699,"$1,611"
82805,95204,$699,"$1,611"
82805,94104,$399,$918
82805,92307,$518,"$1,198"
82805,90813,$361,$847
82805,94117,$399,$918
82805,94545,$397,$929
82805,94305,$752,"$1,736"
82805,95355,$699,"$1,611"
82805,93422,$251,$589
82805,93210,$190,$458
82805,90650,$676,"$1,556"
82805,94558,$397,$929
82805,92369,N/A,N/A
82805,95642,$373,$873
82805,95602,$373,$873
82805,95826,$378,$898
82805,95531,$481,"$1,117"
82805,95616,$373,$873
82805,94509,$397,$929
82805,95453,$481,"$1,117"
82805,95065,$340,$798
82805,95816,$378,$898
82805,95661,$373,$873
82805,95405,$481,"$1,117"
82805,94589,$397,$929
82805,95991,$481,"$1,117"
82805,95376,$699,"$1,611"
82805,96161,$481,"$1,117"
82805,92592,$268,$637
82805,90505,$210,$495
82805,94538,$397,$929
82805,93465,$251,$589
82805,92103,$296,$703
82805,94143,$399,$918
82805,95616,$373,$873
82805,92617,$349,$822
82805,91208,$785,"$1,798"
82805,90033,$414,$960
82805,93636,$152,$379
82805,91405,$258,$599
82805,94588,$397,$929
82805,93003,$121,$303
82805,92270,$518,"$1,198"
82805,94538,$397,$929
82805,91307,$552,"$1,290"
82805,90603,$676,"$1,556"
82805,95695,$373,$873
82805,94110,$399,$918
97001,95901,N/A,N/A
97001,93301,N/A,N/A
97001,95422,N/A,N/A
97001,91206,N/A,N/A
97001,95490,N/A,N/A
97001,95240,N/A,N/A
97001,93654,N/A,N/A
97001,93065,N/A,N/A
97001,95370,N/A,N/A
82805,91007,$785,"$1,798"
82805,95948,$481,"$1,117"
82805,95119,$340,$798
82805,93230,$190,$458
82805,94954,$397,$929
82805,91764,$375,$877
82805,90012,$414,$960
82805,92120,$296,$703
82805,95307,$699,"$1,611"
82805,92243,$518,"$1,198"
82805,91911,$301,$709
82805,94598,$397,$929
82805,95901,$481,"$1,117"
82805,93906,$530,"$1,227"
82805,95203,$699,"$1,611"
82805,94015,$378,$910
82805,94538,$397,$929
82805,93215,$190,$458
82805,95356,$699,"$1,611"
82805,95336,$699,"$1,611"
82805,94545,$397,$929
82805,90242,$687,"$1,584"
82805,95403,$481,"$1,117"
82805,93257,$190,$458
82805,94558,$397,$929
82805,96020,$481,"$1,117"
82805,93720,$152,$379
82805,93454,$251,$589
82805,93940,$530,"$1,227"
82805,92071,$384,$881
82805,94583,$397,$929
82805,95687,$373,$873
82805,91710,$375,$877
82805,96093,N/A,N/A
82805,95825,$378,$898
82805,95642,$373,$873
82805,92363,$518,"$1,198"
82805,94305,$752,"$1,736"
82805,94025,$378,$910
82805,95971,$481,"$1,117"
82805,95370,$699,"$1,611"
82805,94010,$378,$910
82805,92352,N/A,N/A
82805,96001,$481,"$1,117"
82805,93311,$190,$458
82805,92656,$349,$822
82805,94143,$399,$918
82805,92663,$349,$822
82805,96080,$481,"$1,117"
82805,91730,$375,$877
82805,91710,$375,$877
82805,92025,$384,$881
82805,90712,$562,"$1,288"
82805,95501,$481,"$1,117"
82805,93720,$152,$379
82805,92673,$349,$822
82805,90015,$414,$960
82805,94133,$399,$918
82805,91723,N/A,N/A
82805,90732,N/A,N/A
82805,92585,$268,$637
82805,90806,$361,$847
82805,93110,$194,$461
82805,95249,$699,"$1,611"
82805,90805,$361,$847
82805,92506,$268,$637
82805,92647,$349,$822
82805,93291,$190,$458
82805,93561,$190,$458
82805,92373,$518,"$1,198"
82805,90706,$562,"$1,288"
82805,96097,$481,"$1,117"
82805,94538,$397,$929
82805,92868,$280,$661
82805,93401,$251,$589
82805,95616,$373,$873
82805,94705,$397,$929
82805,95476,$481,"$1,117"
82805,92252,$518,"$1,198"
82805,92404,$518,"$1,198"
82805,94110,$399,$918
82805,91754,$375,$877
82805,92071,$384,$881
82805,92120,$296,$703
82805,94611,$397,$929
82805,93514,$190,$458
82805,95203,$699,"$1,611"
82805,95630,$373,$873
82805,93258,N/A,N/A
82805,93702,$152,$379
82805,90067,$414,$960
82805,94010,$378,$910
82805,92118,$296,$703
82805,91730,$375,$877
82805,92037,$384,$881
82805,93545,$190,$458
82805,96093,N/A,N/A
82805,92110,$296,$703
82805,95991,$481,"$1,117"
82805,94903,$397,$929
82805,95490,$481,"$1,117"
82805,94583,$397,$929
82805,91355,$552,"$1,290"
82805,90023,$414,$960
82805,95825,$378,$898
82805,94538,$397,$929
82805,91325,$552,"$1,290"
82805,93636,$152,$379
82805,92869,$280,$661
82805,90806,$361,$847
82805,95678,$373,$873
82805,91402,$258,$599
82805,93309,$190,$458
82805,93311,$190,$458
82805,90505,$210,$495
82805,94025,$378,$910
82805,96080,$481,"$1,117"
82805,96020,$481,"$1,117"
82805,95993,$481,"$1,117"
82805,91208,$785,"$1,798"
82805,96150,$481,"$1,117"
82805,92201,$518,"$1,198"
82805,94801,$397,$929
82805,92404,$518,"$1,198"
82805,95688,$373,$873
82805,92780,$527,"$1,210"
82805,91367,$552,"$1,290"
82805,91733,$375,$877
82805,94509,$397,$929
82805,95823,$378,$898
82805,91107,$350,$852
82805,91730,$375,$877
82805,94705,$397,$929
82805,91010,$785,"$1,798"
82805,93454,$251,$589
82805,91754,$375,$877
82805,92315,$518,"$1,198"
82805,90056,$414,$960
82805,95816,$378,$898
82805,96130,$481,"$1,117"
82805,92543,$268,$637
82805,91436,$258,$599
82805,92324,N/A,N/A
82805,91307,$552,"$1,290"
82805,94040,$378,$910
82805,93561,$190,$458
82805,92270,$518,"$1,198"
82805,90723,$562,"$1,288"
82805,95948,$481,"$1,117"
82805,95340,$699,"$1,611"
82805,92656,$349,$822
82805,93277,$190,$458
82805,92801,$280,$661
82805,94945,$397,$929
82805,96104,$481,"$1,117"
82805,93111,$194,$461
82805,90703,$562,"$1,288"
82805,93906,$530,"$1,227"
82805,92653,$349,$822
82805,95695,$373,$873
82805,95062,$340,$798
82805,95124,$340,$798
82805,93463,$251,$589
82805,93291,$190,$458
82805,91016,$785,"$1,798"
82805,90505,$210,$495
82805,91950,$301,$709
82805,94109,$399,$918
82805,93534,$190,$458
82805,93721,$152,$379
82805,94401,$147,$355
82805,90247,$687,"$1,584"
82805,90710,$562,"$1,288"
82805,94063,$378,$910
82805,90067,$414,$960
82805,91403,$258,$599
82805,95542,$481,"$1,117"
82805,91724,$375,$877
82805,92806,$280,$661
82805,92037,$384,$881
82805,93210,$190,$458
82805,95540,$481,"$1,117"
82805,94596,$397,$929
82805,93257,$190,$458
82805,95608,$373,$873
82805,95988,$481,"$1,117"
82805,92227,$518,"$1,198"
82805,94577,$397,$929
82805,92870,$280,$661
82805,96097,$481,"$1,117"
82805,91723,$375,$877
82805,95128,$340,$798
82805,90036,$414,$960
82805,95453,$481,"$1,117"
82805,92843,$280,$661
82805,95065,$340,$798
82805,93422,$251,$589
82805,94080,$378,$910
82805,91776,$375,$877
82805,92804,$280,$661
82805,90716,$562,"$1,288"
82805,92691,$349,$822
82805,95826,$378,$898
82805,94062,$378,$910
82805,90292,$687,"$1,584"
82805,95376,$699,"$1,611"
82805,95356,$699,"$1,611"
82805,92562,$268,$637
82805,91761,$375,$877
82805,95817,$378,$898
82805,94133,$399,$918
82805,90241,$687,"$1,584"
82805,92705,$527,"$1,210"
82805,94904,$397,$929
82805,91361,$552,"$1,290"
82805,95630,$373,$873
82805,94574,$397,$929
82805,94598,$397,$929
82805,95667,$373,$873
82805,93555,$190,$458
82805,94305,$752,"$1,736"
82805,92506,$268,$637
82805,90640,$676,"$1,556"
82805,92103,$296,$703
82805,90033,$414,$960
82805,90650,$676,"$1,556"
82805,91790,$375,$877
82805,92363,$518,"$1,198"
82805,96122,$481,"$1,117"
82805,93545,$190,$458
82805,94116,$399,$918
82805,96161,$481,"$1,117"
82805,94115,$399,$918
82805,90605,$676,"$1,556"
82805,95687,$373,$873
82805,93702,$152,$379
82805,92335,$518,"$1,198"
82805,95661,$373,$873
82805,93710,$152,$379
82805,94143,$399,$918
82805,95482,$481,"$1,117"
82805,95945,$481,"$1,117"
82805,95119,$340,$798
82805,95202,$699,"$1,611"
82805,90089,$414,$960
82805,95204,$699,"$1,611"
82805,91105,$350,$852
82805,95926,$481,"$1,117"
82805,90503,$210,$495
82805,92029,$384,$881
82805,93637,$152,$379
82805,92882,$280,$661
82805,92071,$384,$881
82805,94403,$147,$355
82805,91362,$552,"$1,290"
82805,92262,$518,"$1,198"
82805,90712,$562,"$1,288"
82805,95023,$340,$798
82805,91764,$375,$877
82805,95355,$699,"$1,611"
82805,91773,$375,$877
82805,92354,$518,"$1,198"
82805,92663,$349,$822
82805,92111,$296,$703
82805,93308,$190,$458
82805,93514,$190,$458
82805,95437,$481,"$1,117"
82805,95966,$481,"$1,117"
82805,92592,$268,$637
82805,94590,$397,$929
82805,94704,$397,$929
82805,90813,$361,$847
82805,93635,$152,$379
82805,94010,$378,$910
82805,95531,$481,"$1,117"
82805,90034,$414,$960
82805,93703,$152,$379
82805,91342,$552,"$1,290"
82805,95338,$699,"$1,611"
82805,90232,$687,"$1,584"
82805,92691,$349,$822
82805,93023,$121,$303
82805,95678,$373,$873
82805,92804,$280,$661
82805,90505,$210,$495
82805,95945,$481,"$1,117"
82805,93555,$190,$458
82805,91107,$350,$852
82805,95531,$481,"$1,117"
82805,92411,$518,"$1,198"
82805,91733,$375,$877
82805,95008,$340,$798
82805,92335,$518,"$1,198"
82805,93003,$121,$303
82805,92555,$268,$637
82805,92882,$280,$661
82805,92227,$518,"$1,198"
82805,92014,$384,$881
82805,94598,$397,$929
82805,92870,$280,$661
82805,91723,$375,$877
82805,93561,$190,$458
82805,93906,$530,"$1,227"
82805,93301,$190,$458
82805,94109,$399,$918
82805,94304,$752,"$1,736"
82805,91405,$258,$599
82805,93637,$152,$379
82805,90017,$414,$960
82805,95403,$481,"$1,117"
82805,92651,$349,$822
82805,95817,$378,$898
82805,93465,$251,$589
82805,92324,$518,"$1,198"
82805,92110,$296,$703
82805,94403,$147,$355
82805,90067,$414,$960
82805,93545,$190,$458
82805,92123,$296,$703
82805,94538,$397,$929
82805,91403,$258,$599
82805,95926,$481,"$1,117"
82805,92056,$384,$881
82805,93635,$152,$379
82805,90605,$676,"$1,556"
82805,92663,$349,$822
82805,90706,$562,"$1,288"
82805,93702,$152,$379
82805,93534,$190,$458
82805,92120,$296,$703
82805,90710,$562,"$1,288"
82805,95051,$340,$798
82805,94010,$378,$910
82805,95448,$481,"$1,117"
82805,90503,$210,$495
82805,90723,$562,"$1,288"
82805,93514,$190,$458
82805,92835,$280,$661
82805,91325,$552,"$1,290"
82805,95128,$340,$798
82805,95695,$373,$873
82805,92071,$384,$881
82805,95361,$699,"$1,611"
82805,91754,$375,$877
82805,95453,$481,"$1,117"
82805,94590,$397,$929
82805,92243,$518,"$1,198"
82805,92120,$296,$703
82805,93463,$251,$589
82805,92111,$296,$703
82805,92501,$268,$637
82805,94545,$397,$929
82805,95482,$481,"$1,117"
82805,91767,$375,$877
82805,95948,$481,"$1,117"
82805,95204,$699,"$1,611"
82805,92505,$268,$637
82805,90027,$414,$960
82805,90292,$687,"$1,584"
82805,93636,$152,$379
82805,94038,$378,$910
82805,93291,$190,$458
82805,92270,$518,"$1,198"
82805,91791,$375,$877
82805,94588,$397,$929
82805,95991,$481,"$1,117"
82805,96028,$481,"$1,117"
82805,93030,$121,$303
82805,95501,$481,"$1,117"
82805,91016,$785,"$1,798"
82805,93060,$121,$303
82805,91911,$301,$709
82805,92563,$268,$637
82805,95608,$373,$873
82805,92821,$280,$661
82805,94705,$397,$929
82805,90255,$687,"$1,584"
82805,95667,$373,$873
82805,95138,$340,$798
82805,94954,$397,$929
82805,92562,$268,$637
82805,91364,$552,"$1,290"
82805,95370,$699,"$1,611"
82805,92801,$280,$661
82805,91763,$375,$877
82805,93258,N/A,N/A
82805,91801,$350,$852
82805,92227,$518,"$1,198"
82805,95823,$378,$898
82805,95422,$481,"$1,117"
82805,93258,N/A,N/A
82805,95490,$481,"$1,117"
82805,90027,$414,$960
82805,94558,$397,$929
82805,90059,$414,$960
82805,96028,$481,"$1,117"
82805,93561,$190,$458
82805,92373,$518,"$1,198"
82805,90502,$210,$495
82805,90036,$414,$960
82805,92866,$280,$661
82805,91754,$375,$877
82805,90716,$562,"$1,288"
82805,93065,$121,$303
82805,95355,$699,"$1,611"
82805,91007,$785,"$1,798"
82805,91360,$552,"$1,290"
82805,91710,$375,$877
82805,94038,$378,$910
82805,90095,$414,$960
82805,95361,$699,"$1,611"
82805,91436,$258,$599
82805,91770,$375,$877
82805,93555,$190,$458
82805,92663,$349,$822
82805,95819,$378,$898
82805,93306,$190,$458
82805,96067,$481,"$1,117"
82805,92673,$349,$822
82805,95825,$378,$898
82805,94062,$378,$910
82805,93230,$190,$458
82805,91786,$375,$877
82805,96020,$481,"$1,117"
82805,95203,$699,"$1,611"
82805,94704,$397,$929
82805,95482,$481,"$1,117"
82805,94801,$397,$929
82805,91764,$375,$877
82805,94116,$399,$918
82805,91364,$552,"$1,290"
82805,95401,$481,"$1,117"
82805,94025,$378,$910
82805,91776,$375,$877
82805,93940,$530,"$1,227"
82805,92411,$518,"$1,198"
82805,92064,$384,$881
82805,96161,$481,"$1,117"
82805,91790,$375,$877
82805,96093,N/A,N/A
82805,90056,$414,$960
82805,92868,$280,$661
82805,94574,$397,$929
82805,96093,N/A,N/A
82805,94590,$397,$929
82805,91505,$491,"$1,133"
82805,92404,$518,"$1,198"
82805,95988,$481,"$1,117"
82805,92704,$527,"$1,210"
82805,95231,$699,"$1,611"
82805,95437,$481,"$1,117"
82805,91403,$258,$599
82805,93720,$152,$379
82805,95472,$481,"$1,117"
82805,91754,$375,$877
82805,90027,$414,$960
82805,92103,$296,$703
82805,90703,$562,"$1,288"
82805,93401,$251,$589
82805,92120,$296,$703
82805,90033,$414,$960
82805,96001,$481,"$1,117"
82805,93010,$121,$303
82805,93465,$251,$589
82805,95338,$699,"$1,611"
82805,91764,$375,$877
82805,95051,$340,$798
82805,95926,$481,"$1,117"
82805,93454,$251,$589
82805,91402,$258,$599
82805,92656,$349,$822
82805,90241,$687,"$1,584"
82805,95945,$481,"$1,117"
82805,92801,$280,$661
82805,93230,$190,$458
82805,93111,$194,$461
82805,95128,$340,$798
82805,94598,$397,$929
82805,90017,$414,$960
82805,95119,$340,$798
82805,95023,$340,$798
82805,90805,$361,$847
82805,94574,$397,$929
82805,95405,$481,"$1,117"
82805,91342,$552,"$1,290"
82805,90026,$414,$960
82805,94903,$397,$929
82805,93662,$152,$379
82805,92503,$268,$637
82805,95817,$378,$898
82805,94531,$397,$929
82805,92411,$518,"$1,198"
82805,91801,$350,$852
82805,91706,$375,$877
82805,90015,$414,$960
82805,94538,$397,$929
82805,92071,$384,$881
82805,93551,N/A,N/A
82805,95350,$699,"$1,611"
82805,93703,$152,$379
82805,93030,$121,$303
82805,93215,$190,$458
82805,95695,$373,$873
82805,94583,$397,$929
82805,95422,$481,"$1,117"
82805,92120,$296,$703
82805,91710,$375,$877
82805,95354,$699,"$1,611"
82805,90056,$414,$960
82805,93555,$190,$458
82805,92071,$384,$881
82805,92651,$349,$822
82805,93003,$121,$303
82805,95688,$373,$873
82805,96020,$481,"$1,117"
82805,92656,$349,$822
82805,95501,N/A,N/A
82805,94117,$399,$918
82805,94945,$397,$929
82805,95405,$481,"$1,117"
82805,91364,$552,"$1,290"
82805,95945,$481,"$1,117"
82805,92691,$349,$822
82805,92111,$296,$703
82805,95501,$481,"$1,117"
82805,91335,$552,"$1,290"
82805,92103,$296,$703
82805,92315,$518,"$1,198"
82805,90059,$414,$960
82805,93901,$530,"$1,227"
82805,90502,$210,$495
82805,94590,$397,$929
82805,94596,$397,$929
82805,90034,$414,$960
82805,91007,$785,"$1,798"
82805,93545,$190,$458
82805,92882,$280,$661
82805,94546,$397,$929
82805,94109,$399,$918
82805,95695,$373,$873
82805,95340,$699,"$1,611"
82805,90505,$210,$495
82805,95608,$373,$873
82805,90712,$562,"$1,288"
82805,96122,$481,"$1,117"
82805,91204,$785,"$1,798"
82805,92503,$268,$637
82805,92128,$296,$703
82805,90623,$676,"$1,556"
82805,90023,$414,$960
82805,91360,$552,"$1,290"
82805,95307,$699,"$1,611"
82805,94305,$752,"$1,736"
82805,90640,$676,"$1,556"
82805,90255,$687,"$1,584"
82805,90505,$210,$495
82805,95988,$481,"$1,117"
82805,94112,$399,$918
82805,91710,$375,$877
82805,92627,$349,$822
82805,95542,$481,"$1,117"
82805,95354,$699,"$1,611"
82805,92656,$349,$822
82805,94509,$397,$929
82805,92404,$518,"$1,198"
82805,95401,$481,"$1,117"
82805,93514,$190,$458
82805,95901,$481,"$1,117"
82805,96020,$481,"$1,117"
82805,93465,$251,$589
82805,92120,$296,$703
82805,92025,$384,$881
82805,95356,$699,"$1,611"
82805,94801,$397,$929
82805,92220,$518,"$1,198"
82805,91355,$552,"$1,290"
82805,91763,$375,$877
82805,95490,$481,"$1,117"
82805,93258,N/A,N/A
