facility_desc,site_address1,site_address2,site_city,site_zip,site_x_coordinate,site_y_coordinate,oshpd_id,license_type_desc,license_category_desc,license_number,facility_level_desc,er_service_level_desc,licensed_beds,facility_status_desc,financial_facility_count,consolidated_facility_desc_pipe,consolidated_facility_desc_comma,period_begin_date,period_end_date,net_pat_rev_medicare_traditional_ip,net_pat_rev_medicare_managed_ip,net_pat_rev_medi_cal_traditional_ip,net_pat_rev_medi_cal_managed_ip,net_pat_rev_county_indigent_traditional_ip,net_pat_rev_county_indigent_managed_ip,net_pat_rev_third_party_traditional_ip,net_pat_rev_third_party_managed_ip,net_pat_rev_other_indigent_ip,net_pat_rev_other_payer_ip,net_pat_rev_total_ip,net_pat_rev_medicare_traditional_op,net_pat_rev_medicare_managed_op,net_pat_rev_medi_cal_traditional_op,net_pat_rev_medi_cal_managed_op,net_pat_rev_county_indigent_traditional_op,net_pat_rev_county_indigent_managed_op,net_pat_rev_third_party_traditional_op,net_pat_rev_third_party_managed_op,net_pat_rev_other_indigent_op,net_pat_rev_other_payer_op,net_pat_rev_total_op,payer_mix_medicare_traditional_ip,payer_mix_medicare_traditional_ip_state,payer_mix_medicare_managed_ip,payer_mix_medicare_managed_ip_state,payer_mix_medi_cal_traditional_ip,payer_mix_medi_cal_traditional_ip_state,payer_mix_medi_cal_managed_ip,payer_mix_medi_cal_managed_ip_state,payer_mix_county_indigent_traditional_ip,payer_mix_county_indigent_traditional_ip_state,payer_mix_county_indigent_managed_ip,payer_mix_county_indigent_managed_ip_state,payer_mix_third_party_traditional_ip,payer_mix_third_party_traditional_ip_state,payer_mix_third_party_managed_ip,payer_mix_third_party_managed_ip_state,payer_mix_other_indigent_ip,payer_mix_other_indigent_ip_state,payer_mix_other_payer_ip,payer_mix_other_payer_ip_state,payer_mix_medicare_traditional_op,payer_mix_medicare_traditional_op_state,payer_mix_medicare_managed_op,payer_mix_medicare_managed_op_state,payer_mix_medi_cal_traditional_op,payer_mix_medi_cal_traditional_op_state,payer_mix_medi_cal_managed_op,payer_mix_medi_cal_managed_op_state,payer_mix_county_indigent_traditional_op,payer_mix_county_indigent_traditional_op_state,payer_mix_county_indigent_managed_op,payer_mix_county_indigent_managed_op_state,payer_mix_third_party_traditional_op,payer_mix_third_party_traditional_op_state,payer_mix_third_party_managed_op,payer_mix_third_party_managed_op_state,payer_mix_other_indigent_op,payer_mix_other_indigent_op_state,payer_mix_other_payer_op,payer_mix_other_payer_op_state,avg_stay_medicare_traditional,avg_stay_medicare_managed,avg_stay_medi_cal_traditional,avg_stay_medi_cal_managed,avg_stay_county_indigent_traditional,avg_stay_county_indigent_managed,avg_stay_third_party_traditional,avg_stay_third_party_managed,avg_stay_other_indigent_total,avg_stay_other_payer_total,avg_stay_total,active_projects,active_project_costs,active_projects_state,active_project_costs_state,spc_1,spc_2,spc_3,spc_4,spc_5,spc_1_state,spc_2_state,spc_3_state,spc_4_state,spc_5_state,sysdate
MAYERS MEMORIAL HOSPITAL,43563 STATE HWY. 299 E,,FALL RIVER MILLS,96028,-121.42442,41.02423,106450936,Hospital,General Acute Care Hospital,230000021,Parent Facility,Standby,115,Open,1,MAYERS MEMORIAL HOSPITAL,MAYERS MEMORIAL HOSPITAL,7/1/2019,6/30/2020,4483640,10605,1062883,12258177,0,0,549507,0,23489,304949,18693249,4280816,111588,653649,6154136,0,0,2836942,0,26753,332628,14396513,0.670926518,0.247,0.003194888,0.1053,0.019169329,0.1571,0.217252396,0.2192,0,0.0136,0,0.0005,0.060702875,0.0484,0,0.1883,0.009584665,0.0066,0.019169329,0.014,0.458589471,0.2469,0.008941545,0.07,0.029674751,0.0883,0.249189673,0.2495,0,0.0165,0,0.0044,0.227394657,0.0533,0,0.2328,0.005923773,0.0104,0.020286129,0.028,7.581,16,371.6667,358.4265,0,0,33.5263,0,95.6667,78.8333,94.5942,7,14599530,5417,9852285352,1,0,0,3,3,115,654,377,783,1193,
SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE STREET,,REDDING,96001,-122.387731,40.58562,106450940,Hospital,General Acute Care Hospital,230000023,Parent Facility,Basic,226,Open,1,SHASTA REGIONAL MEDICAL CENTER,SHASTA REGIONAL MEDICAL CENTER,1/1/2019,12/31/2019,50211600,833965,14764274,13441499,0,0,14598109,8205162,13546,1244276,103312431,24240695,232131,6465277,14446936,0,0,13662878,7170439,-269131,-448870,65500355,0.63662334,0.2477,0.011426939,0.1502,0.071846879,0.1187,0.168404514,0.192,0,0.0068,0,0.0002,0.055992001,0.0345,0.04113698,0.2291,0.000142837,0.0048,0.01442651,0.016,0.40189604,0.2401,0.006510498,0.0777,0.063827799,0.076,0.323718148,0.2407,0,0.009,0,0.0019,0.113897369,0.0505,0.052385106,0.265,0.000228439,0.0074,0.037536602,0.0317,4.729,6.425,8.1292,4.1527,0,0,4.1327,4.1007,2,2.0099,4.7967,6,3689963,5417,9852285352,0,2,0,3,1,115,654,377,783,1193,
MERCY MEDICAL CENTER - REDDING,2175 ROSALINE AVENUE,,REDDING,96001,-122.39742,40.57204,106450949,Hospital,General Acute Care Hospital,230000024,Parent Facility,Basic,266,Open,1,MERCY MEDICAL CENTER - REDDING,MERCY MEDICAL CENTER - REDDING,7/1/2018,6/30/2019,101171127,2259722,26499504,47140412,0,0,22147016,91409554,0,4494047,295121383,63324026,956282,13557319,35402444,0,0,7072154,79306617,0,3322147,202940988,0.474369057,0.2477,0.016014871,0.1502,0.051404876,0.1187,0.230285265,0.192,0,0.0068,0,0.0002,0.043182956,0.0345,0.174948166,0.2291,0.001930364,0.0048,0.007864446,0.016,0.4555718,0.2401,0.00851939,0.0777,0.117239499,0.076,0.179848842,0.2407,0,0.009,0,0.0019,0.103511337,0.0505,0.102034444,0.265,0.01047206,0.0074,0.022802627,0.0317,4.7292,5.808,5.7928,4.2651,0,0,4.7219,3.5043,4.2593,4.6,4.4777,17,6068276,5417,9852285352,0,5,3,5,3,115,654,377,783,1193,
ADVENTIST HEALTH VALLEJO,525 OREGON STREET,,VALLEJO,94590,-122.25033,38.11825,106481015,Hospital,Acute Psychiatric Hospital,110000042,Parent Facility,Not Specified,61,Open,1,ADVENTIST HEALTH VALLEJO,ADVENTIST HEALTH VALLEJO,1/1/2019,12/31/2019,6902510,3183746,4281596,0,0,0,445049,9553658,0,3749,24370308,596713,131270,0,0,0,0,326137,1954717,0,0,3008837,0.294157609,0.2477,0.106317935,0.1502,0.19361413,0.1187,0,0.192,0,0.0068,0,0.0002,0.021059783,0.0345,0.383491848,0.2291,0,0.0048,0.001358696,0.016,0.362027158,0.2401,0.028661494,0.0777,0,0.076,0,0.2407,0,0.009,0,0.0019,0.106886518,0.0505,0.50242483,0.265,0,0.0074,0,0.0317,6.7402,6.7444,6.7421,0,0,0,6.7581,6.7272,0,6.75,6.7364,3,509758,5417,9852285352,,,,,,115,654,377,783,1193,
NORTHBAY MEDICAL CENTER,1200 B. GALE WILSON BLVD.,,FAIRFIELD,94533,-122.05076,38.26097,106481357,Hospital,General Acute Care Hospital,110000093,Parent Facility,Basic,154,Open,2,NORTHBAY MEDICAL CENTER|NORTHBAY VACAVALLEY HOSPITAL,"NORTHBAY MEDICAL CENTER, NORTHBAY VACAVALLEY HOSPITAL",1/1/2019,12/31/2019,128870143,17841204,37134708,79265183,0,715328,68885264,44131498,-1,14428,376857754,27033288,8182953,20580008,69381505,0,131292,76829621,63663584,2,2854602,268656856,0.466284795,0.2477,0.046327002,0.1502,0.092955482,0.1187,0.258968948,0.192,0,0.0068,0.002110341,0.0002,0.046427495,0.0345,0.079690483,0.2291,0.006029545,0.0048,0.001205909,0.016,0.312887374,0.2401,0.021933106,0.0777,0.035125325,0.076,0.226353093,0.2407,0,0.009,0.000280578,0.0019,0.068817427,0.0505,0.31664358,0.265,0.001731494,0.0074,0.016228021,0.0317,4.8272,4.8265,4.8259,4.8277,0,4.8095,4.829,4.826,4.85,4.9167,4.8274,10,1484000,5417,9852285352,0,0,0,4,8,115,654,377,783,1193,
SONOMA SPECIALTY HOSPITAL,501 PETALUMA AVENUE,,SEBASTOPOL,95472,-122.82115,38.39825,106491338,Hospital,General Acute Care Hospital,110000091,Parent Facility,Not Specified,37,Open,1,SONOMA SPECIALTY HOSPITAL,SONOMA SPECIALTY HOSPITAL,7/1/2018,3/31/2019,1864878,339945,35162,660668,0,0,161789,0,0,505402,3567844,644025,145276,353337,511586,0,0,1218174,0,0,341438,3213836,0.648351648,0.2477,0.032967033,0.1502,0.005494505,0.1187,0.17032967,0.192,0,0.0068,0,0.0002,0.054945055,0.0345,0,0.2291,0,0.0048,0.087912088,0.016,0.481607752,0.2401,0.02512112,0.0777,0.057778575,0.076,0.174771218,0.2407,0,0.009,0,0.0019,0.14642024,0.0505,0,0.265,0,0.0074,0.114301095,0.0317,6.5339,6.8333,9,6.5484,0,0,6.9,0,0,6.375,6.5659,3,270700,5417,9852285352,0,0,4,1,0,115,654,377,783,1193,
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,151 SOTOYOME STREET,,SANTA ROSA,95405,-122.70136,38.44204,106490907,Hospital,General Acute Care Hospital,140000648,Consolidated Facility,Not Specified,46,Open,2,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY|PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,"PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY, PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME",7/1/2019,6/30/2020,99548856,18295675,34352431,57640010,168200,0,12896265,81191715,42,5204,304098398,75090055,14206222,9264418,45501200,18229,0,10600763,104575909,-40,4891542,264148298,0.455124936,0.247,0.079891212,0.1053,0.07708652,0.1571,0.208737039,0.2192,0.000679925,0.0136,0,0.0005,0.036121027,0.0484,0.132840388,0.1883,0.009009009,0.0066,0.000509944,0.014,0.2296178,0.2469,0.059080039,0.07,0.03131904,0.0883,0.237445492,0.2495,0.000148941,0.0165,0,0.0044,0.097415869,0.0533,0.284113758,0.2328,0.034752964,0.0104,0.026106096,0.028,5.8218,5.7745,7.29,5.5497,15.875,0,5.0753,4.2444,4.4717,3.8333,5.6316,1,30000,5417,9852285352,0,1,0,4,0,115,654,377,783,1193,
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,1165 MONTGOMERY DRIVE,,SANTA ROSA,95405,-122.70149,38.4429,106491064,Hospital,General Acute Care Hospital,140000648,Parent Facility,Basic,283,Open,2,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY|PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,"PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY, PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME",7/1/2019,6/30/2020,99548856,18295675,34352431,57640010,168200,0,12896265,81191715,42,5204,304098398,75090055,14206222,9264418,45501200,18229,0,10600763,104575909,-40,4891542,264148298,0.455124936,0.247,0.079891212,0.1053,0.07708652,0.1571,0.208737039,0.2192,0.000679925,0.0136,0,0.0005,0.036121027,0.0484,0.132840388,0.1883,0.009009009,0.0066,0.000509944,0.014,0.2296178,0.2469,0.059080039,0.07,0.03131904,0.0883,0.237445492,0.2495,0.000148941,0.0165,0,0.0044,0.097415869,0.0533,0.284113758,0.2328,0.034752964,0.0104,0.026106096,0.028,5.8218,5.7745,7.29,5.5497,15.875,0,5.0753,4.2444,4.4717,3.8333,5.6316,33,22455501,5417,9852285352,0,4,1,5,9,115,654,377,783,1193,
SONOMA VALLEY HOSPITAL,347 ANDRIEUX STREET,,SONOMA,95476,-122.46524,38.28841,106491076,Hospital,General Acute Care Hospital,110000072,Parent Facility,Basic,51,Open,1,SONOMA VALLEY HOSPITAL,SONOMA VALLEY HOSPITAL,7/1/2019,6/30/2020,8700984,1630234,450013,3234583,1917,0,2478090,1462104,0,250173,18208098,5842308,3023822,1200517,7988141,0,0,12274408,1914954,15061,2076002,34335213,0.546161322,0.247,0.151603499,0.1053,0.029154519,0.1571,0.11856171,0.2192,0.002915452,0.0136,0,0.0005,0.106899903,0.0484,0.034013605,0.1883,0,0.0066,0.01068999,0.014,0.333516475,0.2469,0.115540617,0.07,0.032302894,0.0883,0.0751418,0.2495,0,0.0165,0,0.0044,0.412762794,0.0533,0.011295509,0.2328,0.002682481,0.0104,0.016757429,0.028,8.3826,9.9295,4.0667,33.4016,5,0,6.2818,6.8857,0,13.3636,11.2255,7,9783279,5417,9852285352,0,2,3,3,3,115,654,377,783,1193,
DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,,MODESTO,95350,-120.99631,37.66439,106500852,Hospital,General Acute Care Hospital,30000026,Parent Facility,Basic,394,Open,2,DOCTORS MEDICAL CENTER|DOCTORS MEDICAL CENTER-BEHAVIORAL HEALTH DEPARTMENT,"DOCTORS MEDICAL CENTER, DOCTORS MEDICAL CENTER-BEHAVIORAL HEALTH DEPARTMENT",1/1/2019,12/31/2019,100627953,40229487,80296719,117373998,0,420207,8845048,167590407,0,321472,515705292,21541557,16731298,15818714,67493268,0,48186,3969479,92190541,0,403122,218196164,0.23271231,0.2477,0.13929211,0.1502,0.193355431,0.1187,0.301101078,0.192,0,0.0068,0.007543719,0.0002,0.030251076,0.0345,0.077837467,0.2291,0.004952947,0.0048,0.012953861,0.016,0.2017404,0.2401,0.096089927,0.0777,0.075582893,0.076,0.399071542,0.2407,0,0.009,0.000374082,0.0019,0.020782996,0.0505,0.175290986,0.265,0.004850797,0.0074,0.026216379,0.0317,5.835,4.9726,6.5503,4.1424,0,2.3283,4.2103,4.7161,4.9923,4.4,5.1581,9,14721885,5417,9852285352,0,2,0,9,7,115,654,377,783,1193,
